x,y,z
3611631.335856143,-4522690.383583806,-2673039.663906193
3611631.1270805756,-4522690.379957711,-2673039.9501957158
3611623.842993081,-4522680.878486135,-2673065.7419274068
3611615.0660617906,-4522669.62969998,-2673090.496387215
3611609.477344172,-4522658.139927704,-2673113.1082354467
3611602.8670573374,-4522645.085967149,-2673136.0432686796
3611586.60113435,-4522647.715847257,-2673149.207379805
3611580.3636907283,-4522651.370529338,-2673149.6574066337
3611565.4909152244,-4522661.294546899,-2673148.9069574475
3611541.8117499882,-4522678.901951699,-2673149.386479529
3611528.5673341085,-4522689.942430345,-2673146.7799143693
3611518.927370485,-4522697.504648376,-2673145.27644102
3611509.769954206,-4522704.6127594225,-2673145.785914973
3611497.9692076193,-4522713.743260284,-2673146.396425903
3611490.7791310707,-4522721.7546497965,-2673148.4398559164
3611479.352650177,-4522732.9278751565,-2673150.996973076
3611462.3609281923,-4522748.24475926,-2673151.6631112467
3611442.344650499,-4522765.37800336,-2673152.173162783
3611441.408029738,-4522766.498240533,-2673151.571122063
3611431.222097565,-4522781.192662959,-2673142.608201023
3611431.700480686,-4522783.772897487,-2673139.598432215
3611436.0378254014,-4522789.177631089,-2673128.3708307436
3611442.8717978806,-4522795.483658422,-2673112.5626118765
3611448.6295507397,-4522802.463711807,-2673098.868328081
3611449.354719526,-4522802.340593019,-2673098.102076561
3611462.441584539,-4522798.267236257,-2673089.1642874517
3611472.6803141395,-4522798.673652415,-2673077.1363513265
3611480.078041711,-4522803.338099618,-2673061.1717155264
3611488.1612479705,-4522803.338262122,-2673050.3472864726
3611498.389424576,-4522802.971496943,-2673037.3082802114
3611507.753544917,-4522804.684278996,-2673021.886261859
3611518.7606094927,-4522800.59789523,-2673013.9584130435
3611529.4921071245,-4522796.437763957,-2673006.4768285747
3611541.4056046894,-4522796.824516037,-2672989.838014604
3611541.9333950696,-4522794.961589702,-2672986.805317617
3611553.1339727934,-4522789.054919492,-2672979.542152245
3611555.170627591,-4522787.263272167,-2672979.8200246054
3611577.80661186,-4522767.195373337,-2672983.192422821
3611594.1517360024,-4522753.6056595035,-2672982.1983457664
3611603.3345811022,-4522739.188228436,-2672994.176463135
3611603.8332266505,-4522738.998519186,-2672999.4237694633
3611603.974408763,-4522738.374747856,-2673000.282651122
3611606.551346345,-4522734.545885004,-2673005.32279781
3611617.482969018,-4522720.079569613,-2673018.712226931
3611629.129341981,-4522702.844751911,-2673032.0712458533
3611635.662694962,-4522692.97958196,-2673039.9064607862
3611622.3170127785,-4522687.855147798,-2673059.3853505114
3611613.558944697,-4522690.4430708,-2673066.8374191816
3611603.448508403,-4522693.019968248,-2673071.640154313
3611595.8894155584,-4522694.7211617,-2673076.055928698
3611585.6409318442,-4522698.794133509,-2673080.901347004
3611577.7200667304,-4522700.571440139,-2673086.765690796
3611568.2023654706,-4522700.036964191,-2673093.037011597
3611556.894412171,-4522703.542984159,-2673100.2569525754
3611551.353678614,-4522705.587054612,-2673104.399807932
3611546.558831649,-4522707.574648223,-2673105.4307833486
3611541.2320528612,-4522710.035899848,-2673108.5379223
3611525.8219386116,-4522717.414559884,-2673114.9916601568
3611518.0556982774,-4522723.062624467,-2673116.111620098
3611519.0750062913,-4522727.514266227,-2673112.8122502454
3611518.509522679,-4522731.9352272395,-2673109.912389991
3611515.925322042,-4522735.714236464,-2673108.7845017123
3611512.922650198,-4522737.517301198,-2673109.807581942
3611502.035639207,-4522748.036440806,-2673112.621477458
3611490.263535184,-4522755.479625311,-2673118.5669341837
3611480.3028277974,-4522760.238495444,-2673125.762596994
3611477.275548078,-4522761.603652292,-2673127.5308732796
3611467.819563215,-4522765.162727585,-2673134.2629555813
3611463.5249650273,-4522764.7372445045,-2673135.3099069684
3611457.608013833,-4522766.296523586,-2673140.7958044815
3611454.890156481,-4522765.294597951,-2673144.0160536375
3611451.0740486495,-4522764.301363691,-2673150.9249685113
3611450.9127016026,-4522764.329992496,-2673151.0933772656
3611599.8704728293,-4522645.078454022,-2673147.5010452247
3611599.125086987,-4522646.560275182,-2673146.0822396684
3611597.9418207216,-4522649.447649453,-2673142.7940922338
3611597.5180295287,-4522651.481446458,-2673139.8974744393
3611592.4092057007,-4522663.808761353,-2673130.922635951
3611586.763984948,-4522672.696375582,-2673123.420061684
3611584.009508299,-4522676.601340492,-2673120.506601517
3611578.7681560772,-4522683.48449562,-2673115.854327694
3611564.299985117,-4522697.4703650195,-2673111.5767329438
3611560.755733714,-4522697.848942177,-2673110.1943978383
3611554.3768471433,-4522702.832681351,-2673108.505635737
3611546.427775172,-4522712.824560661,-2673100.5310782515
3611544.44627631,-4522719.827890907,-2673089.6178258494
3611546.343493817,-4522723.994880048,-2673085.9269666155
3611543.723378866,-4522729.153670369,-2673080.702099478
3611544.534619297,-4522734.36243583,-2673072.8042676044
3611546.6087551136,-4522736.824181891,-2673067.8282952914
3611546.6927496763,-4522742.58768187,-2673057.934305586
3611548.866011945,-4522748.2537735645,-2673047.3924285737
3611550.291036055,-4522750.798195092,-2673043.0774332182
3611553.7663986515,-4522757.280758805,-2673031.479286707
3611553.762610074,-4522758.442973397,-2673029.48363328
3611560.4701265763,-4522764.820993707,-2673015.6208325685
3611563.8448442738,-4522766.78109983,-2673007.655064181
3611568.252657334,-4522772.993045368,-2672991.1804233007
3611571.7368706865,-4522774.533942639,-2672983.6061457614
3611569.239986066,-4522776.386981051,-2672983.985101153
3611561.104376064,-4522775.69720041,-2672996.1105710734
3611556.366272192,-4522774.62142912,-2673004.1352252164
3611555.5031286073,-4522774.8431507535,-2673004.897266614
3611553.235169121,-4522774.18762165,-2673009.0190659887
3611546.641974843,-4522772.851218154,-2673019.9950845474
3611541.968688441,-4522768.694974609,-2673026.9193293094
3611539.446553442,-4522766.961248536,-2673031.4153923625
3611530.421236214,-4522766.364852068,-2673042.466679788
3611525.8013341697,-4522761.854796141,-2673054.1831653756
3611524.1104267635,-4522760.456416734,-2673056.8814286403
3611520.2511993176,-4522754.347948458,-2673070.4293740126
3611517.0833599656,-4522750.47580039,-2673081.2832682715
3611512.6253185617,-4522751.989620656,-2673084.7693227963
3611507.997961839,-4522751.418840406,-2673092.0571886934
3611508.3869165457,-4522742.081852414,-2673107.1085770377
3611508.738674135,-4522739.591429139,-2673110.8219590215
3611505.7825755044,-4522734.423995075,-2673121.410031246
3611504.702991819,-4522733.519811457,-2673124.639304485
3611503.0689398563,-4522726.12723862,-2673133.6350126294
3611502.6778157386,-4522720.01982443,-2673140.7239905205
3611502.2082604542,-4522716.378752471,-2673145.480972876
3611503.1038312074,-4522714.257286152,-2673147.8681443906
3611502.248282147,-4522713.674347303,-2673148.2171302275
3611537.675764238,-4522685.500320518,-2673140.0768404473
3611538.275426354,-4522685.667809575,-2673138.9906133935
3611543.798499171,-4522688.106535786,-2673137.536477869
3611544.5330239944,-4522687.94086103,-2673136.829169327
3611547.4326559254,-4522688.410459548,-2673134.164651329
3611550.8949673595,-4522688.322792152,-2673129.689237506
3611561.7120059277,-4522688.679793171,-2673118.7943842895
3611569.233700862,-4522687.623873804,-2673110.4034836073
3611580.868948105,-4522686.658023057,-2673098.261784788
3611589.0798643497,-4522687.591347265,-2673089.8719373443
3611596.098801972,-4522686.122889292,-2673084.841248258
3611603.0100688213,-4522684.275322507,-2673082.1812918913
3611607.487951452,-4522686.314206082,-2673072.792562731
3611615.1208375483,-4522688.151907265,-2673061.286550045
3611623.8325278945,-4522689.020251678,-2673050.222660392
3611625.397723082,-4522689.352015332,-2673047.540748487
3611623.3685542084,-4522692.347073117,-2673045.1830218923
3611614.3668594956,-4522700.749480076,-2673043.1663351264
3611605.7996752462,-4522710.306612163,-2673038.530882657
3611600.846743029,-4522715.7463740455,-2673036.059494909
3611590.5119241797,-4522727.689862065,-2673029.9041809235
3611590.270545023,-4522728.405260392,-2673029.0495077544
3611590.676195259,-4522737.692422792,-2673012.9201752935
3611584.0525096715,-4522746.983212983,-2673006.1711926945
3611575.714056074,-4522760.938334567,-2672993.860491652
3611572.323630002,-4522763.083600473,-2672989.0889113876
3611566.462447023,-4522772.189495577,-2672979.350098719
3611566.5200176905,-4522772.180178455,-2672979.3122119633
3611566.6693432257,-4522772.000812603,-2672979.413264594
3611566.9452541447,-4522771.789995458,-2672979.53960315
3611567.2785146795,-4522771.528885975,-2672979.5311846086
3611565.4411801556,-4522768.915887225,-2672978.181911227
